Latitude,Longitude
1.38674,103.7461
1.33261,103.8839
1.31121,103.87254
1.43833,103.77524
1.35496,103.98809
1.33251,103.977
1.30398,103.86541
1.33136,103.89793
1.30511,103.85444
1.35263,103.98576
1.33235,103.93764
1.32415,103.87239
1.3124,103.7659
1.26589,103.82412
1.27994,103.84289
1.40408,103.7498
1.30729,103.8845
1.33015,103.72212
1.44178,103.82426
1.31203,103.87898
1.38216,103.90316
1.37006,103.87467
1.28472,103.86117
1.30711,103.82848
1.31125,103.83999
1.35297,103.98546
1.33942,103.8554
1.3098,103.85759
1.34145,103.69527
1.34694,103.93645
1.3835,103.77287
1.32882,103.87214
1.35293,103.98541
1.36097,103.74676
1.30812,103.85701
1.30191,103.83557
1.29331,103.76856
1.3681,103.86091
1.29254,103.84449
1.33158,103.91049
1.35989,103.83654
1.30473,103.85477
1.35298,103.83443
1.31285,103.8811
1.41971,103.83851
1.33084,103.86278
1.31509,103.87495
1.31144,103.87556
1.35367,103.69972
1.34809,103.94969
1.35885,103.84357
1.35633,103.9536
1.33619,103.84697
1.29399,103.85643
1.32905,103.86237
1.36925,103.86102
1.35682,103.94812
1.44097,103.80606
1.31607,103.77194
1.31459,103.84897
1.34646,103.94314
1.38871,103.88673
1.31071,103.84756
1.28483,103.82087
1.38626,103.74486
1.3017,103.84266
1.2866,103.84553
1.44589,103.82341
1.44732,103.81201
1.28781,103.81463
1.33374,103.92214
1.4166,103.83608
1.3497,103.79223
1.32218,103.74037
1.29501,103.85117
1.28812,103.82554
1.29861,103.84222
1.38091,103.75489
1.33987,103.806
1.3846,103.90086
1.33475,103.74361
1.35766,103.95953
1.29416,103.81065
1.30042,103.86305
1.37641,103.83867
1.30258,103.91474
1.29622,103.83364
1.30884,103.78627
1.40039,103.90925
1.44302,103.83767
1.3775,103.85849
1.4361,103.83667
1.35551,103.68839
1.33392,103.87847
1.42814,103.84626
1.39148,103.85571
1.2933,103.84313
1.2645,103.81766
1.28895,103.81689
1.29102,103.83424
1.31281,103.83957
1.33861,103.73949
1.43396,103.79003
